epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,1591.54,1.05864,0.72593,1.01945,0.9005,0.85224,0.94,0.68908,1.27426,0.91387,1.10211,0.000676802,0.000676802,0.000676802
62,1616.31,1.06617,0.78013,1.00095,0.89241,0.84384,0.93683,0.72307,1.33005,0.89097,1.06046,0.000660299,0.000660299,0.000660299
63,1643.55,1.2216,0.90656,1.02884,0.91378,0.87895,0.9379,0.72763,1.36253,0.88017,1.04918,0.000643795,0.000643795,0.000643795
64,1670.61,1.0644,0.77014,1.17241,0.94637,0.83333,0.93351,0.73417,1.44582,0.87207,1.08112,0.000627292,0.000627292,0.000627292
65,1697.04,0.97292,0.85776,1.04583,0.94637,0.83333,0.93351,0.73417,1.44582,0.87207,1.08112,0.000610789,0.000610789,0.000610789
66,1723.24,1.03072,0.72186,0.97824,0.99082,0.88676,0.93066,0.73252,1.57268,0.92288,1.10141,0.000594286,0.000594286,0.000594286
67,1747.63,0.93105,0.77426,1.0102,0.87096,0.9378,0.95052,0.66355,1.7073,1.05325,1.13466,0.000577782,0.000577782,0.000577782
68,1772.26,0.96971,0.8775,0.98875,0.86569,0.86885,0.95541,0.65095,1.67998,1.19384,1.18501,0.000561279,0.000561279,0.000561279
69,1796.16,0.65237,1.35174,0.65723,0.86569,0.86885,0.95541,0.65095,1.67998,1.19384,1.18501,0.000544776,0.000544776,0.000544776
70,1819.55,1.86825,0.88262,1.09112,0.96703,0.94444,0.96912,0.67404,1.5775,1.00037,1.11543,0.000528272,0.000528272,0.000528272
71,1844.82,0.88262,0.68142,1.02416,0.93811,0.93431,0.96912,0.72288,1.51454,0.91905,1.06651,0.000511769,0.000511769,0.000511769
72,1869.6,0.60407,2.28839,0.65671,0.91758,0.91937,0.9675,0.75554,1.32809,0.80745,1.0115,0.000495266,0.000495266,0.000495266
73,1896.29,1.04677,0.89808,0.97138,0.91758,0.91937,0.9675,0.75554,1.32809,0.80745,1.0115,0.000478762,0.000478762,0.000478762
74,1921.23,0.95068,0.68714,1.03142,0.90069,0.88179,0.9565,0.75437,1.28961,0.8685,0.99908,0.000462259,0.000462259,0.000462259
75,1946.26,0.67542,0.78412,0.6479,0.8448,0.88881,0.962,0.73979,1.31726,0.94883,1.00559,0.000445756,0.000445756,0.000445756
76,1970.08,0.67608,0.7812,0.66755,0.85246,0.88889,0.95105,0.72162,1.33243,0.85417,0.99813,0.000429253,0.000429253,0.000429253
77,1994.66,1.27077,0.81272,0.97942,0.85246,0.88889,0.95105,0.72162,1.33243,0.85417,0.99813,0.000412749,0.000412749,0.000412749
78,2019.06,1.13388,0.86673,0.95072,0.89392,0.88092,0.95412,0.73912,1.34419,0.77601,1.00818,0.000396246,0.000396246,0.000396246
79,2042.97,0.61736,0.71164,0.65408,0.93732,0.83333,0.93428,0.7547,1.38626,0.76545,1.02594,0.000379743,0.000379743,0.000379743
80,2066.85,1.10523,0.98467,0.98102,0.9457,0.83039,0.931,0.72795,1.43534,0.81036,1.01471,0.000363239,0.000363239,0.000363239
81,2091.2,0.71501,0.59044,0.9481,0.9457,0.83039,0.931,0.72795,1.43534,0.81036,1.01471,0.000346736,0.000346736,0.000346736
82,2114.57,1.033,0.70694,1.00399,0.94018,0.83113,0.95608,0.73549,1.41539,0.79006,0.9774,0.000330233,0.000330233,0.000330233
83,2138.56,1.16211,0.74354,1.14551,0.93168,0.8327,0.95528,0.73308,1.38549,0.77196,0.95406,0.000313729,0.000313729,0.000313729
84,2162.87,0.94404,0.71746,0.98786,0.9253,0.82953,0.95085,0.7538,1.33884,0.77144,0.95523,0.000297226,0.000297226,0.000297226
85,2187.7,0.86171,0.65847,0.99005,0.9253,0.82953,0.95085,0.7538,1.33884,0.77144,0.95523,0.000280723,0.000280723,0.000280723
86,2212.05,0.92128,1.46643,1.12428,0.79746,0.96664,0.97278,0.75092,1.23878,0.73158,0.96302,0.00026422,0.00026422,0.00026422
87,2237.69,0.94274,0.67455,1.02305,0.80058,0.97487,0.97278,0.7625,1.2036,0.68806,0.97105,0.000247716,0.000247716,0.000247716
88,2265.16,0.85661,0.63026,0.97782,0.80417,0.9965,0.96813,0.76632,1.16321,0.66622,0.97012,0.000231213,0.000231213,0.000231213
89,2294.71,0.72217,0.65706,0.99457,0.80417,0.9965,0.96813,0.76632,1.16321,0.66622,0.97012,0.00021471,0.00021471,0.00021471
90,2323.15,0.97651,0.63993,1.09422,0.80488,0.98733,0.96813,0.7665,1.16042,0.65624,0.96369,0.000198206,0.000198206,0.000198206
91,2349.82,0.84422,0.72093,1.02726,0.80498,0.97363,0.96813,0.78346,1.14163,0.65401,0.95461,0.000181703,0.000181703,0.000181703
92,2376.75,0.87101,0.80078,0.95568,0.78539,0.94444,0.96903,0.78203,1.12745,0.66083,0.94917,0.0001652,0.0001652,0.0001652
93,2401.46,0.91026,0.67542,1.0504,0.78539,0.94444,0.96903,0.78203,1.12745,0.66083,0.94917,0.000148696,0.000148696,0.000148696
94,2424.73,0.91147,0.61458,0.99322,0.84797,0.92642,0.96313,0.77482,1.12192,0.6544,0.95271,0.000132193,0.000132193,0.000132193
95,2448.49,0.74696,0.60784,0.99239,0.84789,0.92142,0.96313,0.77369,1.10813,0.65455,0.95389,0.00011569,0.00011569,0.00011569
96,2474.75,1.09599,0.60649,1.07117,0.83792,0.88889,0.95513,0.77602,1.096,0.65349,0.94885,9.91865e-05,9.91865e-05,9.91865e-05
97,2499.33,1.21458,0.71454,0.97854,0.83792,0.88889,0.95513,0.77602,1.096,0.65349,0.94885,8.26832e-05,8.26832e-05,8.26832e-05
98,2522.5,0.84395,0.61165,1.0605,0.84193,0.88889,0.95513,0.78822,1.06356,0.65499,0.94261,6.61799e-05,6.61799e-05,6.61799e-05
99,2548.29,0.82066,0.54892,1.02769,0.84437,0.88889,0.95513,0.80085,1.03711,0.65963,0.93673,4.96766e-05,4.96766e-05,4.96766e-05
100,2575.08,0.7025,0.58288,1.02566,0.84578,0.88889,0.95348,0.80049,1.02101,0.66551,0.93437,3.31733e-05,3.31733e-05,3.31733e-05
